 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,0006-0212,Traced,none,205,0,14,13,46,none,none,0,0,0,0,0
2,1,0004-0479,Traced,none,475,0,9,9,30,none,none,0,0,0,0,0
3,2,0007-0748,Traced,none,738,0,21,15,68,none,none,0,0,0,0,0
4,3,0004-0844,Traced,none,841,0,7,9,26,none,none,0,0,0,0,0
5,4,0002-0919,Traced,none,911,0,17,5,36,none,none,0,0,0,0,0
6,5,0003-1040,Traced,none,1034,0,12,6,26,none,none,0,0,0,0,0
7,6,0005-1065,Traced,none,1057,0,16,11,60,none,none,0,0,0,0,0
8,7,0003-1236,Traced,none,1228,0,16,7,42,none,none,0,0,0,0,0
9,8,0006-1272,Traced,none,1265,0,15,13,76,none,none,0,0,0,0,0
10,9,0004-1608,Traced,none,1604,0,9,9,40,none,none,0,0,0,0,0
11,10,0006-1897,Traced,none,1883,0,28,13,88,none,none,0,0,0,0,0
12,11,0004-2040,Traced,none,2031,0,19,8,48,none,none,0,0,0,0,0
13,12,0005-3132,Traced,none,3124,0,16,10,62,none,none,0,0,0,0,0
14,13,0004-3410,Traced,none,3401,0,19,8,42,none,none,0,0,0,0,0
15,14,0003-3819,Traced,none,3816,0,6,7,22,none,none,0,0,0,0,0
16,15,0002-4138,Traced,none,4135,0,7,4,14,none,none,0,0,0,0,0
17,16,0004-4286,Traced,none,4280,0,12,8,32,none,none,0,0,0,0,0
18,17,0007-4411,Traced,none,4402,0,18,15,70,none,none,0,0,0,0,0
19,18,0005-4441,Traced,none,4436,0,11,11,46,none,none,0,0,0,0,0
20,19,0003-4488,Traced,none,4483,0,10,7,36,none,none,0,0,0,0,0
21,20,0005-4563,Traced,none,4560,0,6,11,40,none,none,0,0,0,0,0
22,21,0012-4846,Traced,none,4839,0,15,24,82,none,none,0,0,0,0,0
23,22,0002-4966,Traced,none,4964,0,4,4,10,none,none,0,0,0,0,0
24,23,0003-3937,Traced,none,3935,1,4,4,14,none,none,0,0,0,0,0
25,24,0005-3926,Traced,none,3925,2,3,7,12,none,none,0,0,0,0,0
26,25,0007-3453,Traced,none,3449,3,9,9,34,none,none,0,0,0,0,0
27,26,0005-3565,Traced,none,3563,3,4,5,14,none,none,0,0,0,0,0
28,27,0006-3858,Traced,none,3852,4,12,5,36,none,none,0,0,0,0,0
29,28,0006-4868,Traced,none,4867,4,3,4,6,none,none,0,0,0,0,0
30,29,0009-3711,Traced,none,3709,6,5,6,20,none,none,0,0,0,0,0
31,30,0008-4178,Traced,none,4175,6,7,4,22,none,none,0,0,0,0,0
32,31,0009-0999,Traced,none,994,7,10,5,30,none,none,0,0,0,0,0
33,32,0011-4612,Traced,none,4609,7,7,8,28,none,none,0,0,0,0,0
34,33,0015-1851,Traced,none,1844,8,15,14,78,none,none,0,0,0,0,0
35,34,0011-4212,Traced,none,4208,8,9,7,30,none,none,0,0,0,0,0
36,35,0013-1206,Traced,none,1201,10,10,7,38,none,none,0,0,0,0,0
37,36,0015-2011,Traced,none,2002,10,19,11,56,none,none,0,0,0,0,0
38,37,0012-3486,Traced,none,3484,10,4,4,10,none,none,0,0,0,0,0
39,38,0015-3653,Traced,none,3651,12,4,6,18,none,none,0,0,0,0,0
40,39,0015-3882,Traced,none,3871,12,22,7,64,none,none,0,0,0,0,0
41,40,0016-3503,Traced,none,3498,13,11,7,38,none,none,0,0,0,0,0
42,41,0015-3467,Traced,none,3465,14,5,3,14,none,none,0,0,0,0,0
43,42,0021-2875,Traced,none,2866,15,18,13,64,none,none,0,0,0,0,0
44,43,0020-3447,Traced,none,3445,15,5,10,30,none,none,0,0,0,0,0
45,44,0017-4252,Traced,none,4250,15,4,5,10,none,none,0,0,0,0,0
46,45,0018-3234,Traced,none,3231,16,6,4,18,none,none,0,0,0,0,0
47,46,0019-3517,Traced,none,3516,16,3,6,12,none,none,0,0,0,0,0
48,47,0019-3941,Traced,none,3939,17,5,4,12,none,none,0,0,0,0,0
