Z_slice,neuron_id,GlyT2_synapse_count,Gephyrin_synapse_count
1,1,0,0
1,2,0,0
1,3,0,0
2,1,0,0
2,2,0,0
2,3,0,0
3,1,0,0
3,2,0,5
3,3,0,9
3,4,0,0
4,1,0,3
5,1,0,0
5,2,0,0
5,3,0,0
6,1,0,0
6,2,0,0
6,3,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,6,8
11,2,0,0
12,1,0,0
12,2,5,7
12,3,2,28
12,4,0,0
12,5,0,0
13,1,5,10
13,2,0,0
13,3,0,0
13,4,0,0
13,5,0,7
13,6,0,0
14,1,12,15
14,2,3,20
14,3,0,0
14,4,0,13
14,5,0,0
15,1,6,15
15,2,0,0
15,3,0,10
15,4,0,0
15,5,0,0
16,1,4,9
16,2,0,9
16,3,0,0
16,4,0,0
17,1,0,0
17,2,15,53
17,3,4,9
17,4,0,0
17,5,0,0
17,6,0,9
17,7,0,0
18,1,0,0
18,2,17,52
18,3,6,8
18,4,0,8
18,5,0,0
18,6,0,0
19,1,17,48
19,2,0,0
19,3,7,1
19,4,0,19
19,5,0,0
19,6,0,0
19,7,0,0
19,8,0,0
19,9,0,0
20,1,0,0
20,2,19,40
20,3,0,0
20,4,0,0
21,1,1,0
21,2,0,0
21,3,0,0
21,4,0,0
21,5,0,0
21,6,0,0
21,7,0,0
22,1,0,0
22,2,1,0
22,3,23,12
22,4,0,0
22,5,0,0
22,6,0,0
22,7,0,0
22,8,0,0
22,9,0,0
23,1,10,0
23,2,0,0
23,3,23,6
23,4,0,0
23,5,0,0
23,6,0,0
23,7,0,0
23,8,0,0
23,9,0,0
24,1,14,0
24,2,13,0
24,3,0,0
24,4,0,0
24,5,25,3
24,6,0,0
24,7,0,0
24,8,0,0
24,9,0,0
24,10,0,0
25,1,7,24
25,2,17,11
25,3,26,1
25,4,6,62
25,5,62,22
25,6,0,0
25,7,0,0
25,8,27,5
25,9,21,4
25,10,2,7
25,11,0,0
26,1,15,13
26,2,18,10
26,3,0,0
26,4,16,11
26,5,4,0
26,6,97,28
26,7,11,58
26,8,0,0
26,9,11,3
26,10,31,6
26,11,0,5
26,12,0,0
26,13,0,0
26,14,0,0
27,1,44,17
27,2,26,7
27,3,0,0
27,4,65,21
27,5,54,9
27,6,19,59
27,7,0,0
27,8,0,0
27,9,10,4
27,10,0,0
27,11,0,0
28,1,16,0
28,2,81,19
28,3,42,6
28,4,104,41
28,5,15,77
28,6,8,1
28,7,0,0
28,8,0,0
29,1,21,0
29,2,30,24
29,3,0,0
29,4,91,21
29,5,52,4
29,6,0,0
29,7,61,6
29,8,23,18
29,9,60,8
29,10,71,21
29,11,35,6
29,12,7,78
29,13,47,5
29,14,7,7
29,15,0,0
29,16,5,5
29,17,0,0
29,18,0,0
29,19,0,0
29,20,0,0
30,1,26,3
30,2,58,21
30,3,0,0
30,4,122,19
30,5,28,31
30,6,0,0
30,7,45,9
30,8,32,27
30,9,87,20
30,10,68,15
30,11,46,7
30,12,61,10
30,13,9,11
30,14,0,0
30,15,0,0
30,16,0,0
30,17,0,0
30,18,0,0
30,19,0,0
30,20,0,0
31,1,7,7
31,2,28,11
31,3,27,98
31,4,71,14
31,5,0,0
31,6,120,22
31,7,23,9
31,8,13,25
31,9,42,5
31,10,13,55
31,11,0,0
31,12,0,0
31,13,50,17
31,14,43,19
31,15,41,23
31,16,100,13
31,17,74,14
31,18,0,0
31,19,0,0
31,20,0,0
31,21,0,0
32,1,25,24
32,2,0,0
32,3,62,87
32,4,88,8
32,5,23,21
32,6,95,25
32,7,47,52
32,8,0,0
32,9,0,0
32,10,0,0
32,11,185,54
32,12,0,0
32,13,0,0
32,14,0,0
32,15,0,0
33,1,7,1
33,2,17,0
33,3,95,85
33,4,113,33
33,5,182,31
33,6,0,0
33,7,109,47
33,8,0,0
33,9,0,0
33,10,0,0
33,11,0,0
33,12,0,0
33,13,0,0
34,1,1,0
34,2,2,0
34,3,10,34
34,4,15,0
34,5,23,37
34,6,46,68
34,7,82,13
34,8,74,38
34,9,139,36
34,10,78,89
34,11,0,0
34,12,149,30
34,13,0,0
34,14,0,0
34,15,0,0
34,16,0,0
34,17,0,0
34,18,0,0
34,19,0,0
35,1,2,11
35,2,27,51
35,3,134,69
35,4,119,51
35,5,126,42
35,6,161,37
35,7,0,0
35,8,0,0
35,9,0,0
35,10,0,0
35,11,0,0
35,12,0,0
35,13,0,0
35,14,0,0
35,15,0,0
35,16,0,0
35,17,0,0
36,1,1,14
36,2,95,17
36,3,170,56
36,4,125,38
36,5,153,26
36,6,43,9
36,7,113,56
36,8,0,0
36,9,0,0
36,10,0,0
36,11,0,0
36,12,0,0
37,1,6,13
37,2,22,70
37,3,212,62
37,4,0,0
37,5,132,18
37,6,60,91
37,7,143,40
37,8,0,0
37,9,0,0
38,1,12,17
38,2,18,92
38,3,120,70
38,4,188,52
38,5,132,17
38,6,56,78
38,7,0,0
38,8,0,0
38,9,0,0
38,10,0,0
38,11,0,0
38,12,0,0
39,1,18,19
39,2,20,83
39,3,0,0
39,4,98,8
39,5,85,34
39,6,0,0
39,7,0,0
39,8,0,0
40,1,8,16
40,2,132,16
40,3,153,75
40,4,15,86
40,5,0,0
40,6,87,4
40,7,32,3
40,8,0,0
40,9,167,19
40,10,0,0
40,11,0,0
40,12,0,0
40,13,0,0
41,1,34,16
41,2,163,75
41,3,17,79
41,4,0,0
41,5,0,0
41,6,87,10
41,7,81,9
41,8,0,0
41,9,0,0
41,10,0,0
41,11,99,54
41,12,0,0
41,13,0,0
41,14,0,0
41,15,0,0
41,16,0,0
41,17,0,0
41,18,0,0
41,19,0,0
41,20,0,0
42,1,145,76
42,2,17,80
42,3,87,13
42,4,62,13
42,5,76,10
42,6,101,6
42,7,0,0
42,8,62,19
42,9,79,40
42,10,0,0
42,11,0,0
42,12,0,0
42,13,0,0
42,14,0,0
42,15,0,0
42,16,0,0
42,17,0,0
43,1,147,69
43,2,22,78
43,3,122,21
43,4,79,28
43,5,0,0
43,6,157,29
43,7,99,43
43,8,0,0
43,9,0,0
43,10,0,0
44,1,0,0
44,2,127,83
44,3,17,79
44,4,0,0
44,5,106,15
44,6,84,26
44,7,161,18
44,8,0,0
44,9,59,26
44,10,0,0
44,11,96,41
44,12,0,0
44,13,0,0
44,14,0,0
44,15,0,0
45,1,0,0
45,2,0,0
45,3,90,20
45,4,102,14
45,5,0,0
45,6,165,24
45,7,54,28
45,8,110,41
45,9,69,15
45,10,0,0
45,11,0,0
45,12,0,0
45,13,0,0
45,14,0,0
45,15,0,0
45,16,0,0
46,1,65,43
46,2,0,0
46,3,65,20
46,4,100,22
46,5,109,30
46,6,174,38
46,7,131,46
46,8,0,0
46,9,0,0
46,10,0,0
46,11,0,0
47,1,25,7
47,2,52,52
47,3,0,0
47,4,0,0
47,5,0,0
47,6,65,21
47,7,43,13
47,8,117,21
47,9,18,2
47,10,0,0
47,11,140,34
47,12,0,0
47,13,0,0
47,14,153,43
47,15,0,0
47,16,0,0
47,17,0,0
47,18,0,0
47,19,0,0
47,20,0,0
47,21,0,0
48,1,1,0
48,2,102,8
48,3,34,72
48,4,0,0
48,5,105,38
48,6,0,0
48,7,85,67
48,8,74,12
48,9,62,32
48,10,24,6
48,11,0,0
48,12,0,0
48,13,107,19
48,14,3,0
48,15,79,46
48,16,0,0
48,17,115,42
48,18,136,43
48,19,0,0
48,20,0,0
48,21,0,0
48,22,0,0
48,23,0,0
48,24,0,0
49,1,0,0
49,2,0,0
49,3,0,0
49,4,0,0
49,5,40,23
49,6,56,35
49,7,163,15
49,8,147,45
49,9,0,0
49,10,77,54
49,11,0,0
49,12,0,0
49,13,0,0
49,14,0,0
49,15,0,0
50,1,75,14
50,2,127,36
50,3,0,0
50,4,0,0
50,5,0,0
50,6,0,0
50,7,66,40
50,8,37,8
50,9,86,20
50,10,58,27
50,11,0,0
50,12,0,0
50,13,0,0
50,14,0,0
51,1,12,10
51,2,39,2
51,3,11,8
51,4,81,7
51,5,155,31
51,6,0,0
51,7,100,46
51,8,104,46
51,9,0,0
51,10,177,46
51,11,116,16
51,12,0,0
51,13,20,0
51,14,39,7
51,15,51,18
51,16,0,0
51,17,0,0
51,18,0,0
51,19,0,0
51,20,0,0
51,21,0,0
52,1,113,11
52,2,0,0
52,3,0,0
52,4,101,64
52,5,37,21
52,6,38,17
52,7,0,0
52,8,123,19
52,9,0,0
52,10,0,0
52,11,16,0
52,12,80,37
52,13,0,0
52,14,0,0
52,15,0,0
52,16,0,0
52,17,0,0
53,1,16,5
53,2,0,0
53,3,24,45
53,4,78,5
53,5,90,28
53,6,18,43
53,7,0,0
53,8,149,85
53,9,61,26
53,10,0,0
53,11,131,19
53,12,43,9
53,13,0,0
53,14,0,0
53,15,0,0
53,16,0,0
53,17,0,0
53,18,0,0
54,1,52,3
54,2,18,4
54,3,45,48
54,4,0,0
54,5,82,39
54,6,100,19
54,7,0,0
54,8,122,15
54,9,0,0
54,10,0,0
54,11,44,6
54,12,0,0
54,13,0,0
54,14,0,0
54,15,0,0
54,16,0,0
54,17,0,0
54,18,30,46
54,19,0,0
54,20,0,0
54,21,0,0
54,22,0,0
54,23,0,0
54,24,0,0
54,25,0,0
55,1,0,0
55,2,2,0
55,3,44,5
55,4,65,63
55,5,21,47
55,6,106,43
55,7,154,74
55,8,179,32
55,9,0,0
55,10,141,44
55,11,39,2
55,12,0,0
55,13,0,0
55,14,0,0
55,15,0,0
55,16,0,0
55,17,0,0
55,18,0,0
56,1,0,0
56,2,38,8
56,3,25,7
56,4,79,66
56,5,0,0
56,6,0,0
56,7,135,61
56,8,0,0
56,9,121,51
56,10,32,2
56,11,56,45
56,12,13,4
56,13,61,28
56,14,0,0
56,15,0,0
56,16,0,0
56,17,0,0
56,18,0,0
56,19,12,17
56,20,0,0
56,21,0,0
56,22,0,0
56,23,0,0
57,1,0,0
57,2,43,7
57,3,79,72
57,4,0,0
57,5,0,0
57,6,0,0
57,7,0,0
57,8,47,21
57,9,0,0
57,10,174,48
57,11,0,0
57,12,0,0
57,13,0,0
57,14,31,1
57,15,44,32
57,16,4,0
57,17,45,27
57,18,59,43
57,19,0,0
57,20,31,3
57,21,0,0
57,22,20,11
57,23,18,13
57,24,0,0
57,25,0,0
57,26,0,0
57,27,0,0
57,28,0,0
58,1,0,0
58,2,48,8
58,3,64,34
58,4,63,59
58,5,30,72
58,6,0,0
58,7,0,0
58,8,0,0
58,9,0,0
58,10,0,0
58,11,0,0
58,12,36,18
58,13,183,71
58,14,0,0
58,15,152,46
58,16,0,0
58,17,173,55
58,18,124,61
58,19,0,0
58,20,0,0
58,21,0,0
58,22,30,1
58,23,86,49
58,24,26,27
58,25,7,1
58,26,41,19
58,27,39,37
58,28,0,0
58,29,0,0
58,30,32,8
58,31,0,0
58,32,17,12
58,33,0,0
58,34,0,0
58,35,24,12
58,36,0,0
58,37,0,0
59,1,60,52
59,2,0,0
59,3,0,16
59,4,0,0
59,5,0,0
59,6,0,0
59,7,60,10
59,8,0,0
59,9,27,16
59,10,176,62
59,11,0,0
59,12,0,0
59,13,0,0
59,14,0,0
59,15,39,1
59,16,32,26
59,17,9,1
59,18,37,22
59,19,37,34
59,20,0,0
59,21,4,9
59,22,0,0
59,23,3,2
59,24,17,12
59,25,44,31
59,26,0,0
59,27,0,0
59,28,0,0
59,29,88,8
59,30,0,0
59,31,0,0
60,1,58,67
60,2,39,58
60,3,138,71
60,4,0,0
60,5,81,11
60,6,0,0
60,7,27,12
60,8,141,37
60,9,0,0
60,10,0,0
60,11,0,0
60,12,0,0
60,13,0,0
60,14,44,1
60,15,35,30
60,16,1,0
60,17,41,17
60,18,25,5
60,19,0,0
60,20,19,15
60,21,0,0
60,22,30,30
60,23,8,4
60,24,35,43
60,25,0,0
60,26,0,0
60,27,0,0
60,28,0,0
60,29,0,0
60,30,0,0
61,1,162,62
61,2,40,5
61,3,43,5
61,4,24,1
61,5,69,20
61,6,0,0
61,7,103,30
61,8,0,0
61,9,3,0
61,10,0,0
61,11,221,57
61,12,253,68
61,13,0,0
61,14,0,0
61,15,66,35
61,16,28,6
61,17,18,26
61,18,0,0
61,19,0,0
61,20,35,17
61,21,0,2
61,22,0,0
61,23,37,44
61,24,6,15
61,25,38,4
61,26,2,2
61,27,0,0
61,28,0,0
61,29,0,0
61,30,0,0
62,1,41,51
62,2,49,34
62,3,146,52
62,4,38,6
62,5,31,6
62,6,29,0
62,7,64,25
62,8,86,17
62,9,0,0
62,10,224,37
62,11,0,0
62,12,0,0
62,13,50,1
62,14,0,0
62,15,45,3
62,16,51,18
62,17,50,61
62,18,54,36
62,19,20,10
62,20,0,0
62,21,11,9
62,22,11,2
62,23,0,0
62,24,21,11
62,25,35,18
62,26,0,2
62,27,0,0
62,28,10,19
62,29,1,3
62,30,18,7
62,31,0,0
62,32,0,0
62,33,0,0
62,34,0,0
62,35,0,0
62,36,0,0
62,37,0,0
62,38,0,0
63,1,34,49
63,2,52,36
63,3,17,0
63,4,14,5
63,5,0,0
63,6,145,41
63,7,23,0
63,8,111,33
63,9,0,0
63,10,78,22
63,11,208,70
63,12,237,33
63,13,0,0
63,14,0,0
63,15,0,0
63,16,0,0
63,17,0,0
63,18,0,0
63,19,0,0
63,20,0,0
63,21,49,1
63,22,43,1
63,23,39,17
63,24,87,63
63,25,22,9
63,26,3,1
63,27,0,1
63,28,66,26
63,29,7,9
63,30,42,39
63,31,0,0
63,32,0,0
63,33,0,0
63,34,0,0
63,35,0,0
64,1,81,43
64,2,19,2
64,3,40,36
64,4,12,1
64,5,0,0
64,6,127,36
64,7,0,0
64,8,115,26
64,9,232,75
64,10,7,0
64,11,103,34
64,12,21,1
64,13,34,11
64,14,0,0
64,15,207,81
64,16,253,19
64,17,0,0
64,18,0,0
64,19,35,51
64,20,49,36
64,21,7,4
64,22,31,15
64,23,27,7
64,24,29,10
64,25,0,0
64,26,53,35
64,27,57,57
64,28,0,0
64,29,0,0
64,30,90,6
64,31,0,0
64,32,19,6
64,33,0,0
64,34,0,0
64,35,0,0
64,36,0,0
65,1,76,39
65,2,0,11
65,3,0,55
65,4,31,50
65,5,111,47
65,6,71,54
65,7,24,1
65,8,12,1
65,9,76,39
65,10,16,1
65,11,0,0
65,12,94,19
65,13,0,0
65,14,145,50
