Z_slice,Number_of_neurons,GlyT2_mean,GlyT2_median,GlyT2_total,Gephyrin_mean,Gephyrin_median,Gephyrin_total
1,3,0.0,0.0,0,0.0,0.0,0
2,3,0.0,0.0,0,0.0,0.0,0
3,4,0.0,0.0,0,3.5,2.5,14
4,1,0.0,0.0,0,3.0,3.0,3
5,3,0.0,0.0,0,0.0,0.0,0
6,3,0.0,0.0,0,0.0,0.0,0
7,1,0.0,0.0,0,0.0,0.0,0
8,1,0.0,0.0,0,0.0,0.0,0
9,1,0.0,0.0,0,0.0,0.0,0
10,1,0.0,0.0,0,0.0,0.0,0
11,2,3.0,3.0,6,4.0,4.0,8
12,5,1.4,0.0,7,7.0,0.0,35
13,6,0.833,0.0,5,2.833,0.0,17
14,5,3.0,0.0,15,9.6,13.0,48
15,5,1.2,0.0,6,5.0,0.0,25
16,4,1.0,0.0,4,4.5,4.5,18
17,7,2.714,0.0,19,10.143,0.0,71
18,6,3.833,0.0,23,11.333,4.0,68
19,9,2.667,0.0,24,7.556,0.0,68
20,4,4.75,0.0,19,10.0,0.0,40
21,7,0.143,0.0,1,0.0,0.0,0
22,9,2.667,0.0,24,1.333,0.0,12
23,9,3.667,0.0,33,0.667,0.0,6
24,10,5.2,0.0,52,0.3,0.0,3
25,11,15.273,7.0,168,12.364,5.0,136
26,14,14.5,7.5,203,9.571,4.0,134
27,11,19.818,10.0,218,10.636,4.0,117
28,8,33.25,15.5,266,18.0,3.5,144
29,20,25.5,14.0,510,10.15,5.0,203
30,20,29.1,17.5,582,8.65,5.0,173
31,21,31.048,23.0,652,15.81,11.0,332
32,15,35.0,0.0,525,18.067,0.0,271
33,13,40.231,0.0,523,15.154,0.0,197
34,19,32.579,2.0,619,18.158,0.0,345
35,17,33.471,0.0,569,15.353,0.0,261
36,12,58.333,22.0,700,18.0,11.5,216
37,9,63.889,22.0,575,32.667,18.0,294
38,12,43.833,6.0,526,27.167,8.5,326
39,8,27.625,9.0,221,18.0,4.0,144
40,13,45.692,8.0,594,16.846,3.0,219
41,20,24.05,0.0,481,12.15,0.0,243
42,17,37.0,0.0,629,15.118,0.0,257
43,10,62.6,50.5,626,26.8,24.5,268
44,15,43.333,0.0,650,19.2,0.0,288
45,16,36.875,0.0,590,8.875,0.0,142
46,11,58.545,65.0,644,18.091,20.0,199
47,21,29.19,0.0,613,9.19,0.0,193
48,24,38.625,2.0,927,16.042,0.0,385
49,15,32.2,0.0,483,11.467,0.0,172
50,14,32.071,0.0,449,10.357,0.0,145
51,21,43.095,12.0,905,11.286,2.0,237
52,17,29.882,0.0,508,9.941,0.0,169
53,18,33.889,8.0,610,14.722,2.5,265
54,25,19.72,0.0,493,7.2,0.0,180
55,18,41.722,1.0,751,17.222,0.0,310
56,23,24.87,0.0,572,12.565,0.0,289
57,28,21.25,0.0,595,9.929,0.0,278
58,37,31.757,0.0,1175,15.946,0.0,590
59,31,20.419,0.0,633,9.742,0.0,302
60,30,24.067,0.5,722,13.367,0.0,401
61,30,38.267,4.5,1148,13.3,2.0,399
62,38,28.553,11.0,1085,11.263,2.5,428
63,35,36.486,7.0,1277,13.029,1.0,456
64,36,45.778,20.0,1648,16.444,5.0,592
65,49,31.837,14.0,1560,14.735,6.0,722
66,29,43.828,17.0,1271,18.655,5.0,541
67,27,32.296,7.0,872,18.519,7.0,500
68,32,25.938,8.5,830,14.656,2.5,469
69,36,28.556,3.5,1028,15.917,1.5,573
70,29,24.345,0.0,706,12.0,0.0,348
71,25,18.12,0.0,453,9.52,0.0,238
72,35,24.714,0.0,865,20.286,0.0,710
73,31,15.516,0.0,481,16.903,0.0,524
74,36,14.528,0.0,523,16.806,0.0,605
75,34,14.471,0.0,492,14.735,0.0,501
76,41,19.585,0.0,803,19.0,0.0,779
77,43,16.93,0.0,728,14.256,0.0,613
78,38,5.632,0.0,214,4.474,0.0,170
79,42,14.524,0.0,610,16.929,0.0,711
80,46,8.261,0.0,380,13.935,0.0,641
81,55,5.818,0.0,320,6.309,0.0,347
82,57,10.754,0.0,613,8.386,0.0,478
83,55,5.382,0.0,296,1.673,0.0,92
84,64,10.734,0.0,687,8.219,0.0,526
85,58,16.103,0.0,934,8.483,0.0,492
86,47,17.468,0.0,821,8.851,0.0,416
87,41,20.854,0.0,855,8.171,0.0,335
88,38,8.053,0.0,306,3.474,0.0,132
89,34,21.559,0.0,733,13.382,0.0,455
90,37,22.892,0.0,847,8.486,0.0,314
91,36,14.306,0.0,515,9.167,0.0,330
92,34,9.5,0.0,323,10.294,0.0,350
93,48,11.188,0.0,537,13.229,0.0,635
94,41,21.61,0.0,886,9.585,0.0,393
95,38,15.868,0.0,603,12.553,0.0,477
96,38,15.158,0.0,576,5.5,0.0,209
97,54,12.056,0.0,651,10.444,0.0,564
98,50,20.36,0.0,1018,16.8,0.0,840
99,41,12.585,0.0,516,14.585,0.0,598
100,44,17.409,0.0,766,14.341,0.0,631
101,47,25.532,0.0,1200,16.106,0.0,757
102,41,21.707,0.0,890,15.415,0.0,632
103,38,24.053,0.0,914,14.684,0.0,558
104,44,31.182,0.0,1372,18.409,0.0,810
105,49,22.408,0.0,1098,15.245,0.0,747
106,56,20.411,0.0,1143,11.839,0.0,663
107,43,10.349,0.0,445,5.0,0.0,215
108,42,11.5,0.0,483,4.833,0.0,203
109,36,9.667,0.0,348,12.583,0.0,453
110,45,18.6,0.0,837,7.178,0.0,323
111,47,16.255,0.0,764,10.745,0.0,505
112,52,20.942,0.0,1089,9.865,0.0,513
113,58,14.379,0.0,834,6.966,0.0,404
114,53,7.321,0.0,388,3.491,0.0,185
115,48,8.312,0.0,399,2.208,0.0,106
116,52,8.558,0.0,445,5.327,0.0,277
117,43,10.163,0.0,437,4.256,0.0,183
118,61,5.918,0.0,361,1.918,0.0,117
119,56,12.268,0.0,687,4.232,0.0,237
120,67,1.567,0.0,105,0.776,0.0,52
121,70,4.471,0.0,313,2.871,0.0,201
122,70,4.929,0.0,345,4.4,0.0,308
123,83,0.036,0.0,3,1.711,0.0,142
124,72,4.486,0.0,323,3.167,0.0,228
125,66,13.303,0.0,878,6.758,0.0,446
126,55,4.291,0.0,236,3.527,0.0,194
127,64,0.359,0.0,23,5.062,0.0,324
128,80,0.212,0.0,17,4.325,0.0,346
129,62,8.484,0.0,526,10.435,0.0,647
130,56,1.821,0.0,102,8.554,0.0,479
131,76,3.539,0.0,269,8.487,0.0,645
132,86,2.302,0.0,198,7.047,0.0,606
133,64,9.703,0.0,621,5.922,0.0,379
134,77,12.0,0.0,924,5.727,0.0,441
135,82,10.329,0.0,847,3.341,0.0,274
136,112,5.25,0.0,588,4.054,0.0,454
137,108,5.546,0.0,599,6.546,0.0,707
138,87,6.724,0.0,585,6.333,0.0,551
139,94,2.596,0.0,244,4.787,0.0,450
140,99,4.687,0.0,464,6.061,0.0,600
141,129,2.07,0.0,267,3.302,0.0,426
142,163,3.509,0.0,572,3.472,0.0,566
143,135,5.393,0.0,728,5.607,0.0,757
144,103,3.437,0.0,354,5.029,0.0,518
145,130,4.923,0.0,640,5.962,0.0,775
146,118,2.551,0.0,301,3.627,0.0,428
147,121,1.463,0.0,177,3.521,0.0,426
148,139,5.482,0.0,762,5.245,0.0,729
149,126,4.151,0.0,523,4.611,0.0,581
150,155,4.194,0.0,650,3.239,0.0,502
151,168,3.869,0.0,650,3.321,0.0,558
152,146,5.13,0.0,749,3.356,0.0,490
153,154,3.123,0.0,481,4.286,0.0,660
154,149,6.53,0.0,973,3.664,0.0,546
155,178,1.747,0.0,311,1.624,0.0,289
156,165,0.455,0.0,75,0.994,0.0,164
157,178,2.067,0.0,368,1.449,0.0,258
158,171,3.105,0.0,531,2.912,0.0,498
159,158,0.677,0.0,107,1.544,0.0,244
160,154,1.721,0.0,265,2.981,0.0,459
161,142,3.606,0.0,512,2.972,0.0,422
162,180,3.239,0.0,583,2.589,0.0,466
163,194,2.912,0.0,565,2.335,0.0,453
164,164,2.317,0.0,380,2.97,0.0,487
165,186,0.667,0.0,124,0.763,0.0,142
166,170,4.065,0.0,691,1.176,0.0,200
167,145,6.545,0.0,949,1.683,0.0,244
168,148,7.554,0.0,1118,4.0,0.0,592
169,164,4.97,0.0,815,3.945,0.0,647
170,184,5.299,0.0,975,3.685,0.0,678
171,152,4.507,0.0,685,4.164,0.0,633
172,153,3.961,0.0,606,4.176,0.0,639
173,147,1.238,0.0,182,2.272,0.0,334
174,112,1.491,0.0,167,3.321,0.0,372
175,139,2.813,0.0,391,5.317,0.0,739
176,129,1.868,0.0,241,2.186,0.0,282
177,121,3.074,0.0,372,4.917,0.0,595
178,134,3.59,0.0,481,5.582,0.0,748
179,129,5.109,0.0,659,5.783,0.0,746
180,129,5.419,0.0,699,8.186,0.0,1056
181,122,3.295,0.0,402,7.639,0.0,932
182,135,5.348,0.0,722,8.126,0.0,1097
183,130,9.908,0.0,1288,9.277,0.0,1206
184,112,10.911,0.0,1222,8.304,0.0,930
185,107,5.972,0.0,639,6.804,0.0,728
186,98,6.592,0.0,646,6.99,0.0,685
187,85,6.094,0.0,518,5.271,0.0,448
188,101,7.584,0.0,766,9.307,0.0,940
189,102,11.225,0.0,1145,10.422,0.0,1063
190,78,10.359,0.0,808,7.333,0.0,572
191,67,10.403,0.0,697,13.343,0.0,894
192,85,7.518,0.0,639,8.706,0.0,740
193,105,8.695,0.0,913,5.8,0.0,609
194,98,4.745,0.0,465,9.959,0.0,976
195,92,3.685,0.0,339,9.424,0.0,867
196,97,3.928,0.0,381,6.938,0.0,673
197,80,9.45,0.0,756,11.538,0.0,923
198,89,3.438,0.0,306,9.506,0.0,846
199,87,2.989,0.0,260,9.816,0.0,854
200,77,6.649,0.0,512,16.026,0.0,1234
201,63,6.508,0.0,410,19.524,0.0,1230
202,61,4.459,0.0,272,17.492,0.0,1067
203,72,2.583,0.0,186,12.278,0.0,884
204,66,3.394,0.0,224,14.455,0.0,954
205,75,2.44,0.0,183,12.92,0.0,969
206,69,4.13,0.0,285,17.0,0.0,1173
207,73,5.014,0.0,366,11.973,0.0,874
208,76,2.737,0.0,208,17.921,0.0,1362
209,95,2.653,0.0,252,14.147,0.0,1344
210,95,4.463,0.0,424,12.137,0.0,1153
211,80,7.238,0.0,579,11.1,0.0,888
212,84,13.524,0.0,1136,12.048,0.0,1012
213,78,7.423,0.0,579,11.692,0.0,912
214,58,6.31,0.0,366,12.138,0.0,704
215,61,2.426,0.0,148,9.672,0.0,590
216,84,7.881,0.0,662,11.643,0.0,978
217,78,7.756,0.0,605,16.0,0.0,1248
218,79,7.392,0.0,584,12.342,0.0,975
219,88,0.943,0.0,83,5.886,0.0,518
220,91,0.791,0.0,72,6.626,0.0,603
221,108,4.759,0.0,514,10.12,0.0,1093
222,94,1.106,0.0,104,10.872,0.0,1022
223,79,1.494,0.0,118,12.595,0.0,995
224,92,1.707,0.0,157,10.043,0.0,924
225,84,4.0,0.0,336,12.905,0.0,1084
226,90,1.922,0.0,173,12.422,0.0,1118
227,88,4.75,0.0,418,10.875,0.0,957
228,101,9.426,0.0,952,8.05,0.0,813
229,94,0.926,0.0,87,5.979,0.0,562
230,109,2.468,0.0,269,9.312,0.0,1015
231,104,1.702,0.0,177,7.019,0.0,730
232,100,5.51,0.0,551,7.93,0.0,793
233,97,6.32,0.0,613,11.247,0.0,1091
234,103,3.65,0.0,376,14.01,0.0,1443
235,102,4.392,0.0,448,7.127,0.0,727
236,96,4.167,0.0,400,11.417,0.0,1096
237,101,2.337,0.0,236,8.832,0.0,892
238,110,2.245,0.0,247,11.491,0.0,1264
239,119,3.303,0.0,393,12.412,0.0,1477
240,105,4.152,0.0,436,14.029,0.0,1473
241,122,2.0,0.0,244,12.844,0.0,1567
242,140,2.986,0.0,418,10.029,0.0,1404
243,129,3.612,0.0,466,9.837,0.0,1269
244,117,3.538,0.0,414,11.128,0.0,1302
245,111,3.541,0.0,393,9.252,0.0,1027
246,107,4.047,0.0,433,9.28,0.0,993
247,116,3.534,0.0,410,8.534,0.0,990
248,99,4.556,0.0,451,9.566,0.0,947
249,89,2.719,0.0,242,12.382,0.0,1102
250,88,9.932,0.0,874,13.636,0.0,1200
251,99,7.949,0.0,787,10.556,0.0,1045
252,106,5.83,0.0,618,8.547,0.0,906
253,114,4.842,0.0,552,8.711,0.0,993
254,116,5.147,0.0,597,7.75,0.0,899
255,107,6.86,0.0,734,6.43,0.0,688
256,119,9.605,0.0,1143,9.496,0.0,1130
257,115,10.009,0.0,1151,10.383,0.0,1194
258,90,11.7,0.0,1053,11.178,0.0,1006
259,87,7.322,0.0,637,11.069,0.0,963
260,84,6.024,0.0,506,8.357,0.0,702
261,103,11.039,0.0,1137,6.748,0.0,695
